id,review,rating,date,category,product,sentiment,sentiment_score,keyword_cluster
#1040,Offline mode works surprisingly well.,5,2024-05-26,Mobile,Social Media Platform,Positive,0.9,MOBILE_UI
#1041,Checkout takes forever and constantly fails. Terrible experience.,2,2024-05-16,Checkout,Travel Booking Platform,Negative,0.1,PAYMENT_FAILURE
#1042,"Delivery was faster than expected, great service.",4,2024-08-09,Delivery,Online Marketplace,Positive,0.8,DELIVERY_DELAY
#1043,Password reset doesn't work.,1,2024-08-21,Login,Travel Booking Platform,Negative,0.0,PASSWORD_RESET
#1044,Search results are completely irrelevant.,1,2024-04-06,Search,Social Media Platform,Negative,0.0,SEARCH_PERFORMANCE
#1045,Reliability has improved dramatically since the last update. Disappointed with this.,4,2024-09-24,Reliability,Travel Booking Platform,Positive,0.8,UPTIME
#1046,Can find what I need but it takes time. Great experience overall.,3,2024-12-18,Search,Streaming Service,Neutral,0.4,SEARCH_PERFORMANCE
#1047,Trust this platform completely for my business needs.,5,2024-03-06,Reliability,Travel Booking Platform,Positive,0.9,SYSTEM_RELIABILITY
#1048,The guest checkout option saved me so much time.,4,2024-10-20,Checkout,Project Management Tool,Positive,0.8,CHECKOUT_LATENCY
#1049,Mobile experience is decent but not great.,3,2024-03-23,Mobile,Project Management Tool,Neutral,0.4,MOBILE_PERFORMANCE
#1050,All transactions have gone through smoothly. Would use again.,5,2024-09-16,Payment,Travel Booking Platform,Positive,0.9,TRANSACTION_SPEED
#1051,Password reset process is quick and secure.,4,2024-05-18,Login,Project Management Tool,Positive,0.8,PASSWORD_RESET
#1052,Push notifications are timely and helpful.,4,2024-07-17,Mobile,Travel Booking Platform,Positive,0.8,APP_CRASH
#1053,The product has essential features but nothing extra. Disappointed with this.,3,2024-04-20,Product,SaaS Dashboard,Neutral,0.4,FEATURE_REQUESTS
#1054,"No more payment errors, excellent improvement.",5,2024-12-31,Checkout,Streaming Service,Positive,0.9,CART_MANAGEMENT
#1055,Would definitely recommend to others.,4,2024-07-10,Product,Project Management Tool,Positive,0.8,PRODUCT_BUGS
#1056,The search algorithm is impressive. Could be better.,4,2024-12-27,Search,Project Management Tool,Positive,0.8,FILTER_ISSUES
#1057,Can never find what I need.,1,2024-11-10,Search,E-Commerce Platform,Negative,0.0,SEARCH_ACCURACY
#1058,Login security is adequate but inconvenient.,3,2024-08-09,Login,Social Media Platform,Neutral,0.4,AUTHENTICATION
#1059,Login is instant with face recognition.,5,2024-10-27,Login,Food Delivery App,Positive,0.9,LOGIN_ISSUES
#1060,Package arrived in perfect condition.,4,2024-05-11,Delivery,Travel Booking Platform,Positive,0.8,DELIVERY_DELAY
#1061,No bugs or glitches encountered so far.,5,2024-04-07,Reliability,Project Management Tool,Positive,0.9,UPTIME
#1062,Package arrived with minor damage.,3,2024-01-09,Delivery,Social Media Platform,Neutral,0.4,PACKAGING
#1063,Payment processing is instant and secure.,4,2024-08-07,Payment,SaaS Dashboard,Positive,0.8,TRANSACTION_SPEED
#1064,Product performance is decent.,3,2024-10-19,Product,Food Delivery App,Neutral,0.4,PRODUCT_QUALITY
#1065,Live chat feature is very convenient.,4,2024-09-02,Support,Health & Fitness App,Positive,0.8,SUPPORT_QUALITY
#1066,Filters work perfectly to narrow down results. Terrible experience.,4,2024-02-06,Search,Streaming Service,Positive,0.8,FILTER_ISSUES
#1067,Quality control is clearly top-notch.,5,2024-03-17,Product,SaaS Dashboard,Positive,0.9,PRODUCT_QUALITY
#1068,Voice search works surprisingly well.,4,2024-05-19,Search,Mobile Banking App,Positive,0.8,SEARCH_ACCURACY
#1069,Multiple payment options make purchasing convenient.,4,2024-09-01,Checkout,Food Delivery App,Positive,0.8,CART_MANAGEMENT
#1070,No issues with delivery timing or condition. Disappointed with this.,4,2024-02-13,Delivery,Social Media Platform,Positive,0.8,PACKAGING
#1071,The guest checkout option saved me so much time.,4,2024-07-25,Checkout,Travel Booking Platform,Positive,0.8,CHECKOUT_LATENCY
#1072,The checkout flow is functional but not streamlined.,3,2024-09-23,Checkout,SaaS Dashboard,Neutral,0.4,PAYMENT_FAILURE
#1073,The UI improvements have made my workflow much more efficient.,5,2024-06-10,UI,Travel Booking Platform,Positive,0.9,UI_RESPONSIVENESS
#1074,"No more payment errors, excellent improvement. Terrible experience.",5,2024-02-04,Checkout,Travel Booking Platform,Positive,0.9,PAYMENT_FAILURE
#1075,No issues with delivery timing or condition.,4,2024-04-14,Delivery,Mobile Banking App,Positive,0.8,SHIPPING_QUALITY
#1076,The authentication flow is basic.,3,2024-01-16,Login,Travel Booking Platform,Neutral,0.4,PASSWORD_RESET
#1077,The application crashes daily. Could be better.,2,2024-03-25,Reliability,Mobile Banking App,Negative,0.1,UPTIME
#1078,Password reset doesn't work. Disappointed with this.,2,2024-04-12,Login,Online Marketplace,Negative,0.1,PASSWORD_RESET
#1079,Voice search works surprisingly well.,5,2024-11-09,Search,Health & Fitness App,Positive,0.9,SEARCH_PERFORMANCE
#1080,The responsive design works perfectly on all my devices.,5,2024-09-26,UI,Travel Booking Platform,Positive,0.9,NAVIGATION
#1081,The payment flow is streamlined and user-friendly. Could be better.,4,2024-05-14,Payment,Online Marketplace,Positive,0.8,PAYMENT_FAILURE
#1082,Payment processing fails most of the time.,2,2024-11-16,Payment,SaaS Dashboard,Negative,0.1,PAYMENT_FAILURE
#1083,Performance is unacceptable and slow. Average experience.,2,2024-02-13,Reliability,Online Marketplace,Negative,0.1,UPTIME
#1084,Two-factor authentication is easy to set up.,5,2024-04-22,Login,Project Management Tool,Positive,0.9,AUTHENTICATION
#1085,The guest checkout option saved me so much time.,4,2024-01-20,Checkout,Travel Booking Platform,Positive,0.8,PAYMENT_FAILURE
#1086,Filters work perfectly to narrow down results.,5,2024-06-29,Search,Health & Fitness App,Positive,0.9,FILTER_ISSUES
#1087,"Uptime has been excellent, always available when I need it.",5,2024-02-11,Reliability,E-Commerce Platform,Positive,0.9,UPTIME
#1088,Quality control is clearly top-notch.,5,2024-02-14,Product,Online Marketplace,Positive,0.9,FEATURE_REQUESTS
#1089,Login security is robust without being inconvenient.,5,2024-02-07,Login,E-Commerce Platform,Positive,0.9,LOGIN_ISSUES
#1090,The billing system is functional but confusing.,3,2024-07-21,Payment,Streaming Service,Neutral,0.4,PAYMENT_FAILURE
#1091,Response time is unacceptable.,2,2024-08-06,Support,Food Delivery App,Negative,0.1,SUPPORT_QUALITY
#1092,Some bugs appear occasionally but are resolved quickly.,3,2024-09-05,Reliability,Health & Fitness App,Neutral,0.4,UPTIME
#1093,Would definitely recommend to others. Terrible experience.,4,2024-03-30,Product,Project Management Tool,Positive,0.8,PRODUCT_BUGS
#1094,Some elements are confusing but overall usable. Terrible experience.,3,2024-10-07,UI,Mobile Banking App,Neutral,0.4,UI_RESPONSIVENESS
#1095,Remember me feature works reliably.,5,2024-10-15,Login,E-Commerce Platform,Positive,0.9,LOGIN_ISSUES
#1096,No issues with delivery timing or condition. Needs improvement.,4,2024-03-01,Delivery,Project Management Tool,Positive,0.8,SHIPPING_QUALITY
#1097,The one-click purchase feature is a game changer.,5,2024-03-23,Checkout,Food Delivery App,Positive,0.9,CART_MANAGEMENT
#1098,"Great job on the user experience, it's a pleasure to use. Overall satisfied.",4,2024-11-27,UI,SaaS Dashboard,Positive,0.8,UI_DESIGN
#1099,Payment security gives me confidence to make purchases.,5,2024-12-05,Payment,Social Media Platform,Positive,0.9,REFUND_ISSUES
#1100,Mobile experience is just as good as desktop.,5,2024-04-09,Mobile,SaaS Dashboard,Positive,0.9,APP_CRASH
#1101,The color scheme and layout are visually appealing and professional.,4,2024-02-15,UI,Social Media Platform,Positive,0.8,NAVIGATION
#1102,Cart management is broken and frustrating.,1,2024-06-26,Checkout,E-Commerce Platform,Negative,0.0,CHECKOUT_LATENCY
#1103,Performance has been consistent and dependable.,5,2024-11-16,Reliability,Travel Booking Platform,Positive,0.9,CRASH_ISSUES
#1104,Find what I need in seconds every time. Terrible experience.,5,2024-08-22,Search,Online Marketplace,Positive,0.9,FILTER_ISSUES
#1105,Session management is terrible.,1,2024-08-30,Login,Streaming Service,Negative,0.0,AUTHENTICATION
#1106,The one-click purchase feature is a game changer.,5,2024-12-18,Checkout,E-Commerce Platform,Positive,0.9,CHECKOUT_LATENCY
#1107,Session management is terrible.,1,2024-01-25,Login,Social Media Platform,Negative,0.0,LOGIN_ISSUES
#1108,Checkout works but takes longer than expected.,3,2024-03-01,Checkout,SaaS Dashboard,Neutral,0.4,CHECKOUT_LATENCY
#1109,The mobile interface is optimized for small screens.,4,2024-03-23,Mobile,Social Media Platform,Positive,0.8,MOBILE_UI
#1110,Had to retry payment once but it eventually worked.,3,2024-04-26,Checkout,E-Commerce Platform,Neutral,0.4,CHECKOUT_LATENCY
#1111,Touch gestures are smooth and intuitive. Excellent service.,5,2024-06-28,Mobile,SaaS Dashboard,Positive,0.9,MOBILE_PERFORMANCE
#1112,Password reset process is quick and secure. Terrible experience.,5,2024-08-31,Login,Streaming Service,Positive,0.9,LOGIN_ISSUES
#1113,Search results are somewhat relevant.,3,2024-04-10,Search,Travel Booking Platform,Neutral,0.4,SEARCH_ACCURACY
#1114,The search algorithm is impressive.,4,2024-08-27,Search,Health & Fitness App,Positive,0.8,FILTER_ISSUES
#1115,The one-click purchase feature is a game changer.,5,2024-05-10,Checkout,SaaS Dashboard,Positive,0.9,CHECKOUT_LATENCY
#1116,Payment security gives me confidence to make purchases. Would use again.,5,2024-11-20,Payment,Food Delivery App,Positive,0.9,REFUND_ISSUES
#1117,The search experience is intuitive and efficient. Overall satisfied.,5,2024-03-24,Search,Health & Fitness App,Positive,0.9,SEARCH_PERFORMANCE
#1118,Search indexing is incomplete.,3,2024-08-11,Search,SaaS Dashboard,Neutral,0.4,SEARCH_ACCURACY
#1119,Cart management is intuitive and easy to use.,4,2024-11-14,Checkout,Project Management Tool,Positive,0.8,CART_MANAGEMENT
#1120,Some buttons are hard to find but it's manageable.,3,2024-10-01,UI,Travel Booking Platform,Neutral,0.4,NAVIGATION
#1121,International delivery was slow. Would use again.,3,2024-07-17,Delivery,Travel Booking Platform,Neutral,0.4,DELIVERY_DELAY
#1122,Product performance is outstanding.,5,2024-01-06,Product,Online Marketplace,Positive,0.9,PRODUCT_BUGS
#1123,Issue was resolved quickly and professionally.,4,2024-03-04,Support,SaaS Dashboard,Positive,0.8,CUSTOMER_SUPPORT
#1124,Some elements are completely broken.,1,2024-02-23,UI,Mobile Banking App,Negative,0.0,UI_RESPONSIVENESS
#1125,The layout is decent but could be more organized.,3,2024-08-05,UI,Travel Booking Platform,Neutral,0.4,UI_DESIGN
#1126,Two-factor authentication is a nightmare. Average experience.,2,2024-03-31,Login,Health & Fitness App,Negative,0.1,PASSWORD_RESET
#1127,Support went above and beyond to solve my problem.,5,2024-08-04,Support,SaaS Dashboard,Positive,0.9,SUPPORT_QUALITY
#1128,Advanced search options are powerful. Disappointed with this.,5,2024-10-19,Search,Streaming Service,Positive,0.9,FILTER_ISSUES
#1129,The search experience is functional. Disappointed with this.,3,2024-10-07,Search,Project Management Tool,Neutral,0.4,FILTER_ISSUES
#1130,Filters work perfectly to narrow down results.,4,2024-08-22,Search,Project Management Tool,Positive,0.8,FILTER_ISSUES
#1131,The payment gateway integration works flawlessly.,5,2024-10-25,Payment,Social Media Platform,Positive,0.9,TRANSACTION_SPEED
#1132,Advanced search options are powerful.,4,2024-10-28,Search,Social Media Platform,Positive,0.8,SEARCH_ACCURACY
#1133,The system handles high traffic without any issues. Could be better.,4,2024-01-21,Reliability,E-Commerce Platform,Positive,0.8,CRASH_ISSUES
#1134,The responsive design works perfectly on all my devices.,5,2024-11-22,UI,Mobile Banking App,Positive,0.9,UI_RESPONSIVENESS
#1135,Very dissatisfied with the purchase. Disappointed with this.,1,2024-03-17,Product,Streaming Service,Negative,0.0,PRODUCT_QUALITY
#1136,"The app never crashes, very stable mobile experience. Needs improvement.",4,2024-11-20,Mobile,Food Delivery App,Positive,0.8,APP_CRASH
#1137,International delivery failed completely.,1,2024-11-12,Delivery,Health & Fitness App,Negative,0.0,PACKAGING
#1138,Got a personalized solution that actually worked.,5,2024-09-20,Support,Mobile Banking App,Positive,0.9,SUPPORT_QUALITY
#1139,Same-day delivery option is fantastic.,4,2024-09-17,Delivery,Food Delivery App,Positive,0.8,DELIVERY_DELAY
#1140,The interface is functional but lacks polish.,3,2024-09-08,UI,Project Management Tool,Neutral,0.4,UI_DESIGN
#1141,Payment processing is instant and secure.,4,2024-03-29,Payment,Streaming Service,Positive,0.8,PAYMENT_FAILURE
#1142,Performance is acceptable on newer devices.,3,2024-10-25,Mobile,Travel Booking Platform,Neutral,0.4,APP_CRASH
#1143,The system can't handle any traffic. Disappointed with this.,1,2024-04-17,Reliability,E-Commerce Platform,Negative,0.0,UPTIME
#1144,The one-click purchase feature is a game changer. Overall satisfied.,4,2024-10-27,Checkout,Streaming Service,Positive,0.8,CHECKOUT_LATENCY
#1145,Value is terrible for the price.,1,2024-01-06,Product,Streaming Service,Negative,0.0,PRODUCT_BUGS
#1146,Session management is average. Disappointed with this.,3,2024-10-12,Login,Travel Booking Platform,Neutral,0.4,PASSWORD_RESET
#1147,The authentication system is functional but slow.,3,2024-06-06,Login,SaaS Dashboard,Neutral,0.4,LOGIN_ISSUES
#1148,The search experience is intuitive and efficient.,5,2024-11-13,Search,E-Commerce Platform,Positive,0.9,FILTER_ISSUES
#1149,The product has all the features I was looking for.,5,2024-12-30,Product,Online Marketplace,Positive,0.9,PRODUCT_QUALITY
#1150,Payment went through without any issues this time. Terrible experience.,4,2024-12-29,Checkout,Health & Fitness App,Positive,0.8,CHECKOUT_LATENCY
#1151,Haven't experienced a single crash in months. Would use again.,4,2024-03-19,Reliability,Social Media Platform,Positive,0.8,UPTIME
#1152,The search function is fast and responsive.,4,2024-02-15,Search,Social Media Platform,Positive,0.8,SEARCH_PERFORMANCE
#1153,Search suggestions are helpful and intelligent. Disappointed with this.,5,2024-05-07,Search,Food Delivery App,Positive,0.9,FILTER_ISSUES
#1154,The new authentication system is seamless.,4,2024-02-29,Login,Health & Fitness App,Positive,0.8,LOGIN_ISSUES
#1155,The search experience is intuitive and efficient.,5,2024-07-19,Search,Food Delivery App,Positive,0.9,FILTER_ISSUES
#1156,Password reset process is quick and secure.,5,2024-07-18,Login,Project Management Tool,Positive,0.9,AUTHENTICATION
#1157,Trust this platform completely for my business needs.,5,2024-09-09,Reliability,Online Marketplace,Positive,0.9,CRASH_ISSUES
#1158,The user experience has improved significantly with the latest update.,5,2024-08-29,UI,Streaming Service,Positive,0.9,UI_RESPONSIVENESS
#1159,The payment gateway is functional but basic.,3,2024-02-17,Payment,Online Marketplace,Neutral,0.4,REFUND_ISSUES
#1160,Search indexing is comprehensive and up-to-date.,4,2024-07-19,Search,Project Management Tool,Positive,0.8,SEARCH_ACCURACY
#1161,Session management is excellent. Terrible experience.,4,2024-01-26,Login,Travel Booking Platform,Positive,0.8,LOGIN_ISSUES
#1162,The mobile interface is optimized for small screens. Would use again.,5,2024-02-17,Mobile,Online Marketplace,Positive,0.9,MOBILE_UI
#1163,International delivery was smooth and on time.,5,2024-11-07,Delivery,Social Media Platform,Positive,0.9,SHIPPING_QUALITY
#1164,No bugs or glitches encountered so far.,5,2024-05-13,Reliability,Food Delivery App,Positive,0.9,CRASH_ISSUES
#1165,Design is functional but not particularly inspiring.,3,2024-10-10,UI,Online Marketplace,Neutral,0.4,NAVIGATION
#1166,The interface is incredibly intuitive and easy to navigate. Average experience.,4,2024-02-25,UI,Travel Booking Platform,Positive,0.8,NAVIGATION
#1167,The help documentation is comprehensive and clear.,5,2024-09-03,Support,Travel Booking Platform,Positive,0.9,RESPONSE_TIME
#1168,Single sign-on works perfectly across all services.,5,2024-04-11,Login,Health & Fitness App,Positive,0.9,LOGIN_ISSUES
#1169,The mobile interface is cramped on small screens. Excellent service.,3,2024-11-06,Mobile,Mobile Banking App,Neutral,0.4,MOBILE_PERFORMANCE
#1170,Search suggestions are helpful and intelligent.,5,2024-05-07,Search,Food Delivery App,Positive,0.9,SEARCH_ACCURACY
#1171,Transaction history is easy to track and manage. Great experience overall.,4,2024-10-31,Payment,Food Delivery App,Positive,0.8,REFUND_ISSUES
#1172,Got a personalized solution that actually worked. Overall satisfied.,5,2024-04-27,Support,E-Commerce Platform,Positive,0.9,RESPONSE_TIME
#1173,Advanced search options are powerful.,4,2024-10-03,Search,Travel Booking Platform,Positive,0.8,FILTER_ISSUES
#1174,Cart management is intuitive and easy to use.,4,2024-02-07,Checkout,Mobile Banking App,Positive,0.8,CHECKOUT_LATENCY
#1175,The build quality is poor. Disappointed with this.,1,2024-04-07,Product,Health & Fitness App,Negative,0.0,PRODUCT_BUGS
#1176,Might recommend with reservations.,3,2024-05-08,Product,SaaS Dashboard,Neutral,0.4,FEATURE_REQUESTS
#1177,Single sign-on works perfectly across all services.,4,2024-08-16,Login,Travel Booking Platform,Positive,0.8,AUTHENTICATION
#1178,Voice search works surprisingly well. Would use again.,4,2024-10-19,Search,Food Delivery App,Positive,0.8,FILTER_ISSUES
#1179,Payment processing is instant and secure.,4,2024-12-19,Payment,Travel Booking Platform,Positive,0.8,REFUND_ISSUES
#1180,Single sign-on works perfectly across all services.,5,2024-01-14,Login,Social Media Platform,Positive,0.9,LOGIN_ISSUES
#1181,Search suggestions are helpful and intelligent.,5,2024-12-26,Search,Travel Booking Platform,Positive,0.9,FILTER_ISSUES
#1182,The authentication flow is confusing. Average experience.,2,2024-05-19,Login,Social Media Platform,Negative,0.1,PASSWORD_RESET
#1183,The one-click purchase feature is a game changer.,5,2024-03-28,Checkout,E-Commerce Platform,Positive,0.9,PAYMENT_FAILURE
#1184,The build quality is excellent and durable.,4,2024-01-01,Product,Project Management Tool,Positive,0.8,PRODUCT_BUGS
#1185,Advanced search options are powerful.,5,2024-02-21,Search,Streaming Service,Positive,0.9,SEARCH_PERFORMANCE
#1186,The guest checkout option saved me so much time.,4,2024-11-27,Checkout,SaaS Dashboard,Positive,0.8,PAYMENT_FAILURE
#1187,The checkout experience is now frustration-free. Could be better.,4,2024-03-24,Checkout,Streaming Service,Positive,0.8,CHECKOUT_LATENCY
#1188,Transaction history is easy to track and manage. Average experience.,4,2024-03-19,Payment,Online Marketplace,Positive,0.8,TRANSACTION_SPEED
#1189,Can find what I need but it takes time.,3,2024-12-28,Search,Streaming Service,Neutral,0.4,SEARCH_ACCURACY
#1190,The responsive design works perfectly on all my devices.,5,2024-11-22,UI,Streaming Service,Positive,0.9,UI_DESIGN
#1191,Delivery options are very limited.,2,2024-03-27,Delivery,E-Commerce Platform,Negative,0.1,SHIPPING_QUALITY
#1192,Some buttons are hard to find but it's manageable.,3,2024-07-12,UI,Project Management Tool,Neutral,0.4,UI_RESPONSIVENESS
#1193,Standard delivery is the only option. Average experience.,3,2024-04-15,Delivery,E-Commerce Platform,Neutral,0.4,DELIVERY_DELAY
#1194,The checkout experience is terrible. Needs improvement.,2,2024-08-27,Checkout,E-Commerce Platform,Negative,0.1,PAYMENT_FAILURE
#1195,The delivery process is transparent from start to finish.,4,2024-12-09,Delivery,Streaming Service,Positive,0.8,DELIVERY_DELAY
#1196,"Uptime has been excellent, always available when I need it.",4,2024-02-09,Reliability,Health & Fitness App,Positive,0.8,UPTIME
#1197,Never got a solution that worked.,2,2024-01-07,Support,Travel Booking Platform,Negative,0.1,CUSTOMER_SUPPORT
#1198,The delivery process is a mess.,1,2024-05-20,Delivery,Food Delivery App,Negative,0.0,SHIPPING_QUALITY
#1199,Refunds are processed quickly without any hassle. Terrible experience.,4,2024-02-19,Payment,Social Media Platform,Positive,0.8,REFUND_ISSUES
#1200,The search algorithm is broken.,2,2024-02-29,Search,Online Marketplace,Negative,0.1,FILTER_ISSUES
#1201,Cart management is intuitive and easy to use.,4,2024-02-12,Checkout,Streaming Service,Positive,0.8,PAYMENT_FAILURE
#1202,Would definitely recommend to others.,4,2024-11-28,Product,Health & Fitness App,Positive,0.8,FEATURE_REQUESTS
#1203,The delivery process is transparent from start to finish.,5,2024-04-09,Delivery,E-Commerce Platform,Positive,0.9,PACKAGING
#1204,Performance has been consistent and dependable.,4,2024-02-02,Reliability,Project Management Tool,Positive,0.8,UPTIME
#1205,The product has all the features I was looking for. Terrible experience.,4,2024-02-10,Product,Travel Booking Platform,Positive,0.8,PRODUCT_QUALITY
#1206,Got a personalized solution that actually worked. Disappointed with this.,5,2024-05-10,Support,Mobile Banking App,Positive,0.9,SUPPORT_QUALITY
#1207,Login works but takes time. Average experience.,3,2024-01-11,Login,Streaming Service,Neutral,0.4,PASSWORD_RESET
#1208,Search results are accurate and relevant. Overall satisfied.,5,2024-05-19,Search,Streaming Service,Positive,0.9,SEARCH_PERFORMANCE
#1209,Password reset works but is complicated.,3,2024-05-30,Login,SaaS Dashboard,Neutral,0.4,LOGIN_ISSUES
#1210,The one-click purchase feature is a game changer.,5,2024-05-26,Checkout,Health & Fitness App,Positive,0.9,CART_MANAGEMENT
#1211,Login is instant with face recognition.,5,2024-01-07,Login,Health & Fitness App,Positive,0.9,PASSWORD_RESET
#1212,The checkout flow is functional but not streamlined. Average experience.,3,2024-02-18,Checkout,Online Marketplace,Neutral,0.4,PAYMENT_FAILURE
#1213,The payment flow works but isn't user-friendly.,3,2024-09-11,Payment,Food Delivery App,Neutral,0.4,PAYMENT_FAILURE
#1214,Payment confirmation is immediate and clear.,4,2024-12-08,Payment,Online Marketplace,Positive,0.8,PAYMENT_FAILURE
#1215,The search algorithm is broken.,1,2024-12-26,Search,Mobile Banking App,Negative,0.0,SEARCH_ACCURACY
#1216,Push notifications are timely and helpful. Would use again.,5,2024-10-29,Mobile,Travel Booking Platform,Positive,0.9,MOBILE_PERFORMANCE
#1217,Search indexing is comprehensive and up-to-date.,5,2024-12-16,Search,Online Marketplace,Positive,0.9,FILTER_ISSUES
#1218,The billing system is functional but confusing.,3,2024-09-21,Payment,Travel Booking Platform,Neutral,0.4,PAYMENT_FAILURE
#1219,"Uptime has been excellent, always available when I need it.",4,2024-06-13,Reliability,Health & Fitness App,Positive,0.8,UPTIME
#1220,The guest checkout option doesn't work.,1,2024-07-04,Checkout,Food Delivery App,Negative,0.0,CART_MANAGEMENT
#1221,Performance is acceptable but could be better.,3,2024-10-05,Reliability,Social Media Platform,Neutral,0.4,UPTIME
#1222,"The system has been rock solid, no downtime at all.",5,2024-03-26,Reliability,Streaming Service,Positive,0.9,SYSTEM_RELIABILITY
#1223,The checkout experience is now frustration-free. Overall satisfied.,5,2024-05-05,Checkout,Mobile Banking App,Positive,0.9,CART_MANAGEMENT
#1224,Performance has been consistent and dependable.,5,2024-10-23,Reliability,SaaS Dashboard,Positive,0.9,CRASH_ISSUES
